,Protein,Abundance,Sample
0,Clusterin ,1,BoxPL
1,Apolipoprotein E ,1,BoxPL
2,Actin  cytoplasmic 2 ,1,BoxPL
3,Heat shock cognate 71 kDa protein ,1,BoxPL
4,Annexin ,1,BoxPL
5,Glyceraldehyde-3-phosphate dehydrogenase ,1,BoxPL
6,Actin  cytoplasmic 1 ,1,BoxPL
7,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,BoxPL
8,Polyubiquitin-C ,1,BoxPL
9,40S ribosomal protein SA ,1,BoxPL
10,Tubulin alpha-1A chain ,1,BoxPL
11,Tubulin alpha-1B chain ,1,BoxPL
12,Cathepsin D ,1,BoxPL
13,Corneodesmosin ,1,BoxPL
14,Histone H2A ,1,BoxPL
15,Desmoplakin ,1,BoxPL
16,Histone H3 ,1,BoxPL
17,Arginase-1 ,1,BoxPL
18,Coagulation factor V ,1,BoxPL
19,Heterogeneous nuclear ribonucleoprotein U ,1,BoxPL
20,Heat shock protein HSP 90-alpha ,1,BoxPL
21,Histone H1.2 ,1,BoxPL
22,Tubulin alpha-1C chain ,1,BoxPL
23,Tubulin alpha chain ,1,BoxPL
24,Junction plakoglobin ,1,BoxPL
25,Dipeptidyl peptidase 1 ,1,BoxPL
26,Histone H2B type 2-F ,1,BoxPL
27,Cofilin-1 ,1,BoxPL
28,Polyubiquitin-B ,1,BoxPL
29,ATP synthase subunit alpha  mitochondrial ,1,BoxPL
30,Annexin A2 ,1,BoxPL
31,Desmocollin-1 ,1,BoxPL
32,Dermokine ,1,BoxPL
33,Histone H4 ,1,BoxPL
34,Peptidase A1 domain-containing protein ,1,BoxPL
35,Histone H1.5 ,1,BoxPL
36,Heat shock protein HSP 90-beta ,1,BoxPL
37,Histone H3.3 ,1,BoxPL
38,Tubulin beta chain ,1,BoxPL
39,Histone H1.3 ,1,BoxPL
40,Histone H1.4 ,1,BoxPL
41,Histone H2A type 2-B ,1,BoxPL
42,Heat shock protein 75 kDa  mitochondrial ,1,BoxPL
43,Filaggrin-2 ,1,BoxPL
44,Alpha-enolase ,1,BoxPL
45,Lysozyme C ,1,BoxPL
46,Histone H2B ,1,BoxPL
47,Histone H2B type 1-C/E/F/G/I ,1,BoxPL
48,Histone H2B type 1-D ,1,BoxPL
49,Histone H2B type 1-H ,1,BoxPL
50,Histone H2B type 1-L ,1,BoxPL
51,Histone H2B type 1-M ,1,BoxPL
52,Histone H2B type 1-N ,1,BoxPL
53,Histone H2B type 1-K ,1,BoxPL
54,Histone H2B type F-S ,1,BoxPL
55,Immunoglobulin kappa variable 3D-11 ,1,BoxPL
56,Apolipoprotein C-III ,1,BoxPL
57,Dermcidin ,1,BoxPL
58,Ubiquitin-60S ribosomal protein L40 ,1,BoxPL
59,Cofilin-2 ,1,BoxPL
60,L-lactate dehydrogenase A chain ,1,BoxPL
61,C-reactive protein ,1,BoxPL
62,Hornerin ,1,BoxPL
63,Protein POF1B,1,BoxPL
64,Phosphopyruvate hydratase ,1,BoxPL
65,Histone H3.1 ,1,BoxPL
66,Histone H3.1t ,1,BoxPL
67,Histone H3.2 ,1,BoxPL
68,60S ribosomal protein L7a ,1,BoxPL
69,BRI3-binding protein ,1,BoxPL
70,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,BoxPL
71,Ubiquitin-40S ribosomal protein S27a ,1,BoxPL
72,Apolipoprotein(a) ,1,BoxPL
73,60 kDa heat shock protein  mitochondrial ,1,BoxPL
74,Histone H2AX ,1,BoxPL
75,Histone H2A type 1-D ,1,BoxPL
76,Histone H2A type 1 ,1,BoxPL
77,Histone H2A type 1-B/E ,1,BoxPL
78,Beta-actin-like protein 2 ,1,BoxPL
79,Histone H2A type 1-H ,1,BoxPL
80,Histone H2A type 2-A ,1,BoxPL
81,Histone H2A type 2-C ,1,BoxPL
82,Histone H2A type 1-C ,1,BoxPL
83,Histone H2A.J ,1,BoxPL
84,Histone H2A type 3 ,1,BoxPL
85,Peptidyl-prolyl cis-trans isomerase ,1,BoxPL
86,Peptidyl-prolyl cis-trans isomerase A ,1,BoxPL
87,Histone H2A type 1-A ,1,BoxPL
88,Histone H2A type 1-J ,1,BoxPL
89,Immunoglobulin heavy variable 3-64D ,1,BoxPL
90,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,BoxPL
91,Desmoglein-1 ,1,BoxPL
92,Lipocalin-1 ,1,BoxPL
93,Galectin-7 ,1,BoxPL
94,Putative lipocalin 1-like protein 1 ,1,BoxPL
95,Proteasome subunit alpha type ,1,BoxPL
96,Plastin-2 ,1,BoxPL
97,T-complex protein 1 subunit delta ,1,BoxPL
98,Elongation factor 1-gamma ,1,BoxPL
99,HCG2029799 ,1,BoxPL
100,ATPase family AAA domain-containing protein 2B ,1,BoxPL
101,Nucleoprotein TPR ,1,BoxPL
102,Peroxiredoxin-1 ,1,BoxPL
103,60S ribosomal protein L6 ,1,BoxPL
104,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,BoxPL
105,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,BoxPL
106,Probable non-functional immunoglobulin heavy variable 3-16 ,1,BoxPL
107,Triosephosphate isomerase ,1,BoxPL
108,60S ribosomal protein L11 ,1,BoxPL
109,Plakophilin-1 ,1,BoxPL
110,Sarcosine dehydrogenase  mitochondrial ,1,BoxPL
111,Proteasome subunit alpha type-6 ,1,BoxPL
112,60S ribosomal protein L7 ,1,BoxPL
113,Immunoglobulin heavy variable 3-48 ,0,BoxPL
114,Apolipoprotein A-IV ,1,BoxPL
115,Catalase ,1,BoxPL
116,Peroxiredoxin-2 ,1,BoxPL
117,Elongation factor 2 ,1,BoxPL
118,Immunoglobulin heavy variable 5-10-1 ,1,BoxPL
119,ELAV-like protein 1 ,1,BoxPL
120,Immunoglobulin heavy variable 3-30-5 ,1,BoxPL
121,Immunoglobulin heavy variable 3-30 ,1,BoxPL
122,40S ribosomal protein S21 ,0,BoxPL
123,40S ribosomal protein S25 ,0,BoxPL
124,40S ribosomal protein S6 ,0,BoxPL
125,Alpha-amylase 2B ,0,BoxPL
126,Aspartate aminotransferase  cytoplasmic ,0,BoxPL
127,ATP synthase F(0) complex subunit C3  mitochondrial ,0,BoxPL
128,ATPase family AAA domain-containing protein 2B  ,0,BoxPL
129,C4b-binding protein beta chain ,0,BoxPL
130,Calpain-1 catalytic subunit ,0,BoxPL
131,Coiled-coil domain-containing protein 174 ,0,BoxPL
132,Cytosolic 5'-nucleotidase 3A ,0,BoxPL
133,Disco-interacting protein 2 homolog B ,0,BoxPL
134,DNA repair protein REV1 ,0,BoxPL
