,0
0,A0A075B6J9
1,A0A075B6Q5
2,A0A087WSY6
3,A0A087WSZ0
4,A0A0B4J1V2
5,A0A0B4J1V6
6,A0A0B4J1Y8
7,A0A0C4DH32
8,A0A0C4DH33
9,A0A0C4DH43
10,A0A0J9YVY3
11,A0A2R8Y619
12,A5A3E0
13,A6ND36
14,A6NE02
15,O00443
16,O14734
17,O15217
18,O60307
19,O60641
20,O60664
21,O75157
22,O75368
23,O75636
24,O95445
25,P00488
26,P00519
27,P00746
28,P00748
29,P01701
30,P01721
31,P01814
32,P02750
33,P02753
34,P02771
35,P02786
36,P02814
37,P04080
38,P05160
39,P05166
40,P05496
41,P06681
42,P06702
43,P07384
44,P08670
45,P09211
46,P0DMV8
47,P0DPH8
48,P11021
49,P13942
50,P14618
51,P15104
52,P17174
53,P18583
54,P19652
55,P21439
56,P30101
57,P30613
58,P31947
59,P35232
60,P35579
61,P36980
62,P41250
63,P42684
64,P48201
65,P49908
66,P53675
67,P55327
68,P55854
69,P61956
70,P62318
71,P62753
72,P62826
73,P63104
74,P63220
75,P84103
76,Q00325
77,Q06055
78,Q13148
79,Q13642
80,Q14185
81,Q14667
82,Q1XH10
83,Q2M3G0
84,Q53RT3
85,Q5SYB0
86,Q68CZ6
87,Q6PGN9
88,Q6PII3
89,Q6V0I7
90,Q6ZW49
91,Q86UK0
92,Q86V15
93,Q86V24
94,Q86XI8
95,Q8IV33
96,Q8N2C7
97,Q8N3D4
98,Q8N3F8
99,Q8NFA0
100,Q8TCU6
101,Q96A08
102,Q96DA0
103,Q96DY2
104,Q96JG6
105,Q96SF2
106,Q96T49
107,Q99715
108,Q9H0P0
109,Q9NZJ9
110,Q9NZN1
111,Q9NZQ3
112,Q9P267
113,Q9P2D7
114,Q9P2K5
115,Q9UBZ9
116,Q9UJ98
117,Q9UNH5
118,Q9Y2N7
119,Q9Y566
