,0
0,A0A0A0MRZ8
1,A0A0C4DH30
2,A0A0C4DH35
3,A0A0J9YX35
4,A0A0J9YXX1
5,A0A8I5KQE6
6,A6NHL2
7,A6NMY6
8,B2RXH8
9,B7ZW38
10,O14556
11,O60812
12,O60814
13,O76027
14,P00338
15,P01591
16,P01717
17,P01780
18,P02647
19,P02649
20,P02656
21,P02741
22,P04040
23,P04908
24,P05089
25,P06727
26,P06733
27,P06899
28,P07339
29,P07437
30,P07910
31,P0CG47
32,P0CG48
33,P0DMR1
34,P0DP03
35,P10412
36,P10809
37,P11142
38,P12259
39,P12270
40,P13639
41,P13796
42,P14923
43,P16104
44,P16401
45,P16402
46,P16403
47,P18124
48,P20671
49,P23528
50,P25705
51,P26641
52,P32119
53,P47929
54,P50991
55,P53634
56,P57053
57,P58876
58,P60174
59,P60709
60,P60900
61,P61626
62,P62424
63,P62805
64,P62807
65,P62913
66,P62937
67,P63261
68,P68363
69,P68431
70,P81605
71,P84243
72,Q02413
73,Q02878
74,Q06830
75,Q08554
76,Q12931
77,Q13835
78,Q14568
79,Q15517
80,Q15717
81,Q15846
82,Q16695
83,Q16777
84,Q1KMD3
85,Q562R1
86,Q58FF6
87,Q5D862
88,Q5QNW6
89,Q5VSP4
90,Q5VVH2
91,Q6E0U4
92,Q6FI13
93,Q71DI3
94,Q71U36
95,Q7L7L0
96,Q86YZ3
97,Q8IUE6
98,Q8TAA3
99,Q8WVV4
100,Q8WY22
101,Q93077
102,Q93079
103,Q96KK5
104,Q96QV6
105,Q99877
106,Q99878
107,Q99879
108,Q99880
109,Q9BQE3
110,Q9BTM1
111,Q9UL12
112,Q9ULI0
113,Q9Y281
