,Protein,Abundance,Sample,ID
0,Clusterin ,1,BoxPL,Q15846
1,Apolipoprotein E ,1,BoxPL,P02649
2,Actin  cytoplasmic 2 ,1,BoxPL,P63261
3,Heat shock cognate 71 kDa protein ,1,BoxPL,P11142
4,Annexin ,1,BoxPL,O76027
5,Glyceraldehyde-3-phosphate dehydrogenase ,1,BoxPL,O14556
6,Actin  cytoplasmic 1 ,1,BoxPL,P60709
7,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,BoxPL,P07910
8,Polyubiquitin-C ,1,BoxPL,P0CG48
9,40S ribosomal protein SA ,1,BoxPL,A0A8I5KQE6
10,Tubulin alpha-1A chain ,1,BoxPL,Q71U36
11,Tubulin alpha-1B chain ,1,BoxPL,P68363
12,Cathepsin D ,1,BoxPL,P07339
13,Corneodesmosin ,1,BoxPL,Q15517
14,Histone H2A ,1,BoxPL,P04908
15,Desmoplakin ,1,BoxPL,P14923
16,Histone H3 ,1,BoxPL,P68431
17,Arginase-1 ,1,BoxPL,P05089
18,Coagulation factor V ,1,BoxPL,P12259
19,Heterogeneous nuclear ribonucleoprotein U ,1,BoxPL,Q1KMD3
20,Heat shock protein HSP 90-alpha ,1,BoxPL,Q14568
21,Histone H1.2 ,1,BoxPL,P16403
22,Tubulin alpha-1C chain ,1,BoxPL,Q9BQE3
23,Tubulin alpha chain ,1,BoxPL,A6NHL2
24,Dipeptidyl peptidase 1 ,1,BoxPL,P53634
25,Histone H2B type 2-F ,1,BoxPL,Q5QNW6
26,Cofilin-1 ,1,BoxPL,P23528
27,Polyubiquitin-B ,1,BoxPL,P0CG47
28,ATP synthase subunit alpha  mitochondrial ,1,BoxPL,P25705
29,Annexin A2 ,1,BoxPL,A6NMY6
30,Desmocollin-1 ,1,BoxPL,Q08554
31,Dermokine ,1,BoxPL,Q6E0U4
32,Histone H4 ,1,BoxPL,P62805
33,Histone H1.5 ,1,BoxPL,P16401
34,Heat shock protein HSP 90-beta ,1,BoxPL,Q58FF6
35,Histone H3.3 ,1,BoxPL,P84243
36,Tubulin beta chain ,1,BoxPL,P07437
