,CG,CS,CP,CL,HL,CA,CE,CD,CK,CT,CR,HA,HE,CN,EV,CQ,CV,EL,HK,HV,HQ,EI,HR,HI,HS,ET,CH,CI,ES,CF,HD,EF,HT,EY,EA,HF,CY,CM,ER,EK,CC,EE,HN,HY,EQ,HG,HM,EG,HH,EC,HP,ED,HC,EN,CW,EH,EM,EW,HW,EP,CX,EX
A0A075B6H7,0.02586206896551724,0.09482758620689655,0.07758620689655173,0.07758620689655173,0.0,0.05172413793103448,0.02586206896551724,0.008620689655172414,0.008620689655172414,0.04310344827586207,0.034482758620689655,0.0,0.008620689655172414,0.008620689655172414,0.02586206896551724,0.034482758620689655,0.008620689655172414,0.0603448275862069,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.05172413793103448,0.0,0.017241379310344827,0.04310344827586207,0.017241379310344827,0.008620689655172414,0.017241379310344827,0.0,0.04310344827586207,0.017241379310344827,0.0,0.008620689655172414,0.008620689655172414,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.04310344827586207,0.0,0.0,0.02586206896551724,0.0,0.017241379310344827,0.008620689655172414,0.017241379310344827,0.0,0.0,0.008620689655172414,0.0,0.008620689655172414,0.008620689655172414,0.0,0.0,0.0,0.0
A0A075B6I0,0.09836065573770492,0.09836065573770492,0.05737704918032787,0.040983606557377046,0.0,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.0,0.06557377049180328,0.01639344262295082,0.00819672131147541,0.0,0.01639344262295082,0.040983606557377046,0.02459016393442623,0.03278688524590164,0.04918032786885246,0.0,0.0,0.0,0.02459016393442623,0.0,0.0,0.0,0.040983606557377046,0.0,0.00819672131147541,0.05737704918032787,0.0,0.01639344262295082,0.01639344262295082,0.0,0.040983606557377046,0.01639344262295082,0.0,0.02459016393442623,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0,0.02459016393442623,0.0,0.0,0.01639344262295082,0.0,0.01639344262295082,0.0,0.00819672131147541,0.0,0.0,0.00819672131147541,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0
A0A075B6J9,0.06779661016949153,0.11016949152542373,0.06779661016949153,0.059322033898305086,0.0,0.0423728813559322,0.00847457627118644,0.01694915254237288,0.0,0.05084745762711865,0.01694915254237288,0.00847457627118644,0.00847457627118644,0.025423728813559324,0.03389830508474576,0.05084745762711865,0.01694915254237288,0.03389830508474576,0.0,0.0,0.0,0.025423728813559324,0.0,0.0,0.0,0.05084745762711865,0.0,0.0,0.07627118644067797,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.0,0.0423728813559322,0.01694915254237288,0.0,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.01694915254237288,0.0,0.00847457627118644,0.0,0.0,0.00847457627118644,0.0,0.0,0.025423728813559324,0.0,0.01694915254237288,0.0,0.00847457627118644,0.0,0.0,0.01694915254237288,0.0,0.00847457627118644,0.00847457627118644,0.0,0.0,0.0,0.0
A0A075B6K4,0.05217391304347826,0.0782608695652174,0.0782608695652174,0.05217391304347826,0.0,0.043478260869565216,0.02608695652173913,0.02608695652173913,0.034782608695652174,0.043478260869565216,0.017391304347826087,0.0,0.008695652173913044,0.008695652173913044,0.034782608695652174,0.034782608695652174,0.008695652173913044,0.02608695652173913,0.0,0.008695652173913044,0.0,0.02608695652173913,0.0,0.0,0.0,0.043478260869565216,0.008695652173913044,0.008695652173913044,0.06956521739130435,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.0,0.06086956521739131,0.034782608695652174,0.0,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.0,0.008695652173913044,0.017391304347826087,0.0,0.0,0.017391304347826087,0.0,0.0,0.017391304347826087,0.0,0.017391304347826087,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044,0.0,0.008695652173913044,0.008695652173913044,0.0,0.0,0.0,0.0
A0A075B6K5,0.05217391304347826,0.0782608695652174,0.043478260869565216,0.06086956521739131,0.0,0.06086956521739131,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.034782608695652174,0.02608695652173913,0.008695652173913044,0.0,0.034782608695652174,0.05217391304347826,0.034782608695652174,0.008695652173913044,0.02608695652173913,0.0,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.043478260869565216,0.017391304347826087,0.017391304347826087,0.043478260869565216,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.0,0.034782608695652174,0.034782608695652174,0.0,0.008695652173913044,0.008695652173913044,0.017391304347826087,0.0,0.0,0.008695652173913044,0.0,0.0,0.02608695652173913,0.008695652173913044,0.0,0.02608695652173913,0.0,0.017391304347826087,0.0,0.008695652173913044,0.0,0.017391304347826087,0.008695652173913044,0.008695652173913044,0.0,0.017391304347826087,0.0,0.0,0.0,0.0
A0A075B6P5,0.075,0.075,0.06666666666666667,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.008333333333333333,0.025,0.03333333333333333,0.008333333333333333,0.008333333333333333,0.025,0.025,0.025,0.03333333333333333,0.058333333333333334,0.0,0.0,0.008333333333333333,0.025,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.008333333333333333,0.058333333333333334,0.0,0.008333333333333333,0.016666666666666666,0.0,0.041666666666666664,0.016666666666666666,0.0,0.008333333333333333,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.025,0.008333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.008333333333333333,0.0,0.016666666666666666,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0
A0A075B6Q5,0.1016949152542373,0.06779661016949153,0.01694915254237288,0.03389830508474576,0.0,0.025423728813559324,0.01694915254237288,0.0,0.03389830508474576,0.00847457627118644,0.025423728813559324,0.00847457627118644,0.00847457627118644,0.025423728813559324,0.0423728813559322,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.0,0.00847457627118644,0.0,0.01694915254237288,0.0,0.0,0.00847457627118644,0.025423728813559324,0.0,0.00847457627118644,0.05084745762711865,0.0423728813559322,0.01694915254237288,0.00847457627118644,0.0,0.05084745762711865,0.05084745762711865,0.0,0.00847457627118644,0.025423728813559324,0.025423728813559324,0.0,0.00847457627118644,0.025423728813559324,0.0,0.0,0.025423728813559324,0.0,0.0,0.00847457627118644,0.0,0.01694915254237288,0.0,0.00847457627118644,0.0,0.0,0.00847457627118644,0.00847457627118644,0.01694915254237288,0.00847457627118644,0.0,0.0,0.0,0.0
A0A075B6R2,0.05982905982905983,0.1111111111111111,0.042735042735042736,0.05128205128205128,0.008547008547008548,0.017094017094017096,0.0,0.0,0.042735042735042736,0.02564102564102564,0.02564102564102564,0.017094017094017096,0.0,0.02564102564102564,0.05128205128205128,0.008547008547008548,0.03418803418803419,0.05128205128205128,0.008547008547008548,0.0,0.0,0.02564102564102564,0.0,0.0,0.008547008547008548,0.02564102564102564,0.017094017094017096,0.008547008547008548,0.042735042735042736,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.0,0.03418803418803419,0.02564102564102564,0.0,0.0,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.0,0.02564102564102564,0.0,0.0,0.03418803418803419,0.0,0.0,0.017094017094017096,0.0,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.0,0.008547008547008548,0.017094017094017096,0.0,0.0,0.03418803418803419,0.0,0.0,0.0,0.0
A0A075B6R9,0.06666666666666667,0.058333333333333334,0.06666666666666667,0.075,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.025,0.0,0.03333333333333333,0.041666666666666664,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.041666666666666664,0.0,0.008333333333333333,0.008333333333333333,0.025,0.0,0.0,0.008333333333333333,0.03333333333333333,0.0,0.008333333333333333,0.06666666666666667,0.016666666666666666,0.008333333333333333,0.025,0.0,0.03333333333333333,0.025,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.025,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0
A0A075B6S2,0.058333333333333334,0.058333333333333334,0.08333333333333333,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.008333333333333333,0.025,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.03333333333333333,0.03333333333333333,0.025,0.05,0.0,0.0,0.008333333333333333,0.03333333333333333,0.0,0.0,0.008333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.075,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.0,0.05,0.008333333333333333,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.025,0.008333333333333333,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.016666666666666666,0.008333333333333333,0.0,0.0,0.0,0.0
