,AExpo,CExpo,DExpo,EExpo,FExpo,GExpo,HExpo,IExpo,KExpo,LExpo,MExpo,NExpo,PExpo,QExpo,RExpo,SExpo,TExpo,VExpo,WExpo,XExpo,YExpo
A0A075B6H7,0.053129183588788445,0.0008087084540102779,0.03241604327779494,0.06143745664880467,0.03116939080288897,0.027960061459131966,0.0,0.013651458560880514,0.010933966775266429,0.14467386664065773,0.027368586066140357,0.013942284498826113,0.10243413006403947,0.08360944490278174,0.09611913265117107,0.12338908794222382,0.09188065272934472,0.019975201205364283,0.02544633400334066,0.0,0.039655009728543356
A0A075B6I0,0.03662955276910671,0.0008365004427167774,0.04940226195113163,0.022941006014332656,0.007259623755163342,0.08146980877306019,0.0,0.028019915964059724,0.010896215249067944,0.10498976364500133,0.08233763769906777,0.02209038241867916,0.057320824670634124,0.058126842525838905,0.040661642794195325,0.14198085798162985,0.1089754366088677,0.05678297950160378,0.024430128290089823,0.0,0.06484861894575372
A0A075B6J9,0.058789126242933094,0.0009697324202734109,0.03320960564080725,0.03139065978185317,0.020259600261452633,0.061439974514680175,0.0,0.0028083852139072505,0.02695383890435317,0.1301144940870121,0.025824917340446042,0.03022722191839655,0.06620659007841219,0.08112216552366398,0.034617276011616994,0.17248943146705906,0.11403454668872583,0.01955282808170608,0.04939110117154645,0.0,0.040598504651154756
A0A075B6K4,0.041353345292300905,0.013722987488085396,0.032664289699982946,0.08183154298309918,0.023382543328951816,0.041723560423507465,0.01805361053072129,0.00698586598490067,0.054954467856225,0.11343234896176528,0.030368895966403273,0.014219244783391477,0.08591331556471538,0.055164208704219286,0.03931784748926217,0.13993489862183378,0.09022615282797598,0.03933498894972558,0.025936848109518858,0.0,0.051479036433414525
A0A075B6K5,0.07808868814394043,0.000941086766230387,0.023634721187217204,0.042830109780015314,0.022411714234967347,0.05674566342919655,0.04362896770895381,0.016572081945428686,0.023421192098575832,0.12604357711701109,0.02268596669113251,0.06259826270930209,0.04178411334601489,0.06335092594544668,0.06818256341575996,0.12933660315471374,0.07925938739465016,0.031972328850161595,0.03798964206654049,0.0,0.028522404014741504
A0A075B6P5,0.02864831325876516,0.0008123856986341609,0.04169461043635615,0.03904974389153033,0.0034746454557134957,0.06444682035473981,0.01397639669371015,0.009450332953499278,0.021616463033766187,0.15104623112352805,0.050468011423886495,0.02634682723988651,0.09090438233853144,0.08914487275411129,0.08219718782118224,0.14607150023288035,0.04285495948001745,0.037312900349126266,0.024527052240762168,0.0,0.03595636321937302
A0A075B6Q5,0.03805040705585765,0.010148909540457027,0.023360103970279825,0.0845135804503321,0.07449885207726184,0.07414422768679998,0.004272748837825741,0.02167920496513028,0.06707763042447976,0.0648307145882344,0.04973838547890424,0.035621789849143125,0.0212880915545032,0.05663644394875891,0.08067724277135567,0.11374256539342865,0.028626023121210927,0.06796505241274983,0.024457220507009807,0.0,0.05867080536627694
A0A075B6R2,0.04673270100735821,0.0011324394977125056,0.008092596927450322,0.02672373486677017,0.04035923395229146,0.039954937387634226,0.028050916337699936,0.013791328069297492,0.10458452116104937,0.11898907012406616,0.021739639371403496,0.032330458689681416,0.06030294831817116,0.051466894834720674,0.05823178448241407,0.15240865075187424,0.04730854776571229,0.05499152821930307,0.06647100043770086,0.0,0.02633706779768857
A0A075B6R9,0.03078115235859003,0.0004849089560199624,0.049237022562263075,0.02693231616131198,0.030283763722489702,0.060196508401049086,0.011849956468667544,0.009826958753529137,0.017447483439085757,0.1508145182689736,0.04381303898333865,0.019662218134732262,0.0940498804433008,0.09182938709339385,0.10686032370060757,0.11055992219294213,0.05540580771837908,0.04283887740541511,0.02422157689049526,0.0,0.02290437834541559
A0A075B6S2,0.02729126985448551,0.0008980401481228593,0.0496565467814658,0.03255725267861669,0.01084465244926438,0.05423185092418809,0.0125738581231654,0.03201815360260861,0.0453877617902752,0.1472492549430288,0.05048054274607053,0.012273970371243274,0.10561172559476979,0.09960959561815763,0.06703773776859294,0.12588201322359735,0.03969701354715385,0.03039607811540094,0.024412219330118057,0.0,0.03189046238967475
