,Interactivity
A0A075B6H7,0
A0A075B6I0,0
A0A075B6J9,0
A0A075B6K4,0
A0A075B6K5,0
A0A075B6P5,0
A0A075B6Q5,0
A0A075B6R2,0
A0A075B6R9,0
A0A075B6S2,0
A0A075B6S5,0
A0A075B6S6,0
A0A075B6S9,0
A0A087WSY4,0
A0A087WSY6,0
A0A087WSZ0,0
A0A087WW87,0
A0A0A0MRZ7,0
A0A0A0MRZ8,0
A0A0A0MS15,0
A0A0A0MT36,0
A0A0A0MT89,0
A0A0B4J1V0,0
A0A0B4J1V1,0
A0A0B4J1V2,0
A0A0B4J1V6,0
A0A0B4J1X5,0
A0A0B4J1Y8,0
A0A0B4J1Y9,0
A0A0B4J2D9,0
A0A0B4J2H0,0
A0A0C4DH24,0
A0A0C4DH25,0
A0A0C4DH29,0
A0A0C4DH30,0
A0A0C4DH31,0
A0A0C4DH32,0
A0A0C4DH33,0
A0A0C4DH34,0
A0A0C4DH35,0
A0A0C4DH38,0
A0A0C4DH41,0
A0A0C4DH42,0
A0A0C4DH43,0
A0A0C4DH55,0
A0A0C4DH67,0
A0A0C4DH68,0
A0A0C4DH69,0
A0A0C4DH72,0
A0A0C4DH73,0
A0A0G2JMI3,0
A0A0J9YVY3,0
A0A0J9YX35,0
A0A0J9YXX1,0
A0A2R8Y4L2,0
A0A2R8Y619,0
A0A8I5KQE6,0
A0M8Q6,0
A2NJV5,0
A5A3E0,0
A6ND36,1
A6NE02,0
A6NHL2,0
A6NMY6,0
A8MTL9,0
B2RXH8,7
B7ZW38,0
B9A064,0
F6WE04,0
H0Y8K0,0
O00294,1
O00299,6
O00391,0
O00443,0
O14556,1
O14734,6
O14791,2
O15217,6
O43866,0
O60307,1
O60641,1
O60664,29
O60812,10
O60814,2
O75157,0
O75161,7
O75368,0
O75390,0
O75636,7
O75874,10
O76027,1
O95445,0
P00338,3
P00450,0
P00488,22
P00505,0
P00519,43
P00558,4
P00734,3
P00736,3
P00738,3
P00739,0
P00740,2
P00742,3
P00746,0
P00748,3
P00751,3
P01008,2
P01011,8
P01019,13
P01023,56
P01024,16
P01031,14
P01042,2
P01591,0
P01593,0
P01594,1
P01597,0
P01599,0
P01601,0
P01602,0
P01611,0
P01614,0
P01615,0
P01619,0
P01624,0
P01699,0
P01700,0
P01701,0
P01703,0
P01714,0
P01717,0
P01718,0
P01721,0
P01743,0
P01762,0
P01763,0
P01764,0
P01766,0
P01767,0
P01772,0
P01780,0
P01782,0
P01814,0
P01824,0
P01825,0
P01834,0
P01857,1
P01859,1
P01860,0
P01861,0
P01871,0
P01876,0
P01877,0
P01880,0
P02647,11
P02649,44
P02652,15
P02655,1
P02656,3
P02671,1
P02675,1
P02679,1
P02741,14
P02743,6
P02745,4
P02746,3
P02747,3
P02748,1
P02749,9
P02750,4
P02753,2
P02760,2
P02763,1
P02765,0
P02766,58
P02768,2
P02771,1
P02774,0
P02786,29
P02787,25
P02790,0
P02814,4
P03952,11
P04003,2
P04004,16
P04040,1
P04075,3
P04080,0
P04114,3
P04180,2
P04196,4
P04217,0
P04350,2
P04430,0
P04432,0
P04433,0
P04792,208
P04908,4
P05062,4
P05089,0
P05090,46
P05109,3
P05154,1
P05155,9
P05156,0
P05160,0
P05166,2
P05204,1
P05496,3
P05543,0
P05546,0
P06310,0
P06312,0
P06331,0
P06396,199
P06576,7
P06681,10
P06702,8
P06727,8
P06733,5
P06899,1
P07225,8
P07339,30
P07357,5
P07358,0
P07360,1
P07384,8
P07437,19
P07737,5
P07910,33
P07996,3
P08185,0
P08603,15
P08670,101
P08697,0
P09104,1
P09211,25
P09871,6
P0C0L4,0
P0C0L5,0
P0CF74,0
P0CG04,0
P0CG38,0
P0CG47,34
P0CG48,77
P0DMR1,0
P0DMV8,11
P0DOY2,0
P0DOY3,0
P0DP01,0
P0DP02,0
P0DP03,0
P0DP04,0
P0DP06,0
P0DP07,0
P0DP08,0
P0DP09,0
P0DPH8,1
P0DSN7,0
P10412,5
P10643,0
P10809,38
P11021,30
P11142,35
P11597,0
P12259,0
P12270,1
P12273,2
P13639,2
P13671,1
P13796,0
P13929,0
P13942,1
P14136,207
P14618,14
P14923,16
P15104,5
P15311,19
P15814,3
P16104,18
P16401,1
P16402,0
P16403,0
P17066,11
P17174,0
P18124,2
P18428,2
P18583,0
P19652,0
P19823,0
P19827,0
P19961,0
P20339,24
P20671,0
P20848,0
P20851,0
P20929,6
P21439,0
P22352,1
P22735,31
P22792,0
P23083,0
P23142,0
P23381,2
P23526,3
P23528,14
P25311,2
P25705,9
P26038,8
P26641,10
P27169,0
P27918,34
P29508,0
P29622,0
P29692,12
P30101,11
P30613,1
P31151,3
P31153,22
P31947,110
P32119,2
P33778,1
P33991,5
P35232,8
P35241,4
P35268,16
P35579,15
P35858,0
P36955,3
P36980,2
P38646,10
P41250,8
P42684,16
P43652,2
P46459,6
P47929,8
P48201,0
P49368,9
P49908,0
P50213,2
P50607,0
P50991,4
P51148,5
P51149,11
P51854,0
P51884,6
P53634,3
P53675,1
P54315,38
P55058,0
P55327,2
P55854,13
P57053,0
P58876,1
P59923,0
P60174,3
P60660,6
P60709,33
P60842,7
P60900,24
P61020,4
P61604,2
P61626,1
P61956,19
P62191,16
P62195,30
P62241,2
P62318,7
P62424,1
P62753,4
P62805,54
P62807,4
P62826,141
P62851,6
P62913,7
P62937,15
P62979,16
P62987,17
P63104,123
P63220,3
P63261,14
P68363,5
P68371,1
P68431,46
P68871,4
P78563,5
P80748,0
P81605,2
P84103,22
P84243,12
Q00325,0
Q02413,4
Q02878,1
Q03001,5
Q04756,5
Q06055,0
Q06830,9
Q08554,1
Q12931,2
Q13148,213
Q13642,2
Q13790,0
Q13796,1
Q13835,3
Q13867,18
Q14185,6
Q14240,9
Q14315,7
Q14520,0
Q14554,2
Q14562,5
Q14568,0
Q14624,0
Q14667,0
Q15195,0
Q15326,6
Q15517,0
Q15717,4
Q15846,0
Q16610,29
Q16695,11
Q16777,0
Q16778,1
Q1KMD3,0
Q1XH10,0
Q2M3G0,0
Q3ZCM7,0
Q4VXU2,0
Q53RT3,0
Q562R1,1
Q58FF6,0
Q5D862,0
Q5QNW6,0
Q5SRH9,0
Q5SYB0,1
Q5TEH5,0
Q5VSP4,0
Q5VVH2,0
Q68CZ6,9
Q6E0U4,7
Q6FI13,3
Q6IMN6,2
Q6P5R6,1
Q6PGN9,1
Q6PII3,3
Q6S8J3,0
Q6UWL2,0
Q6UWP8,0
Q6V0I7,1
Q6ZS17,0
Q6ZW49,7
Q70JA7,0
Q71DI3,17
Q71U36,9
Q7L7L0,3
Q7Z3V4,0
Q7Z4S6,3
Q7Z5P9,0
Q86UK0,1
Q86UX7,0
Q86V15,0
Q86V24,1
Q86XI8,1
Q86YZ3,0
Q8IUE6,1
Q8IV33,4
Q8N257,0
Q8N2C7,0
Q8N3D4,0
Q8N3F8,5
Q8NB90,0
Q8NDA2,0
Q8NE71,0
Q8NFA0,1
Q8TAA3,0
Q8TCU6,7
Q8TDL5,0
Q8TEW0,14
Q8WVV4,0
Q8WXG6,2
Q8WXH0,3
Q8WY22,3
Q8WYB5,0
Q93077,2
Q93079,3
Q96A08,0
Q96DA0,10
Q96DY2,0
Q96IY4,0
Q96JG6,3
Q96KK5,0
Q96KN2,0
Q96P63,0
Q96PD5,0
Q96QV6,0
Q96SF2,0
Q96T49,35
Q99715,0
Q99798,0
Q99877,0
Q99878,0
Q99879,0
Q99880,2
Q9BQE3,5
Q9BTM1,0
Q9BYE4,0
Q9BYX7,0
Q9H0P0,2
Q9H172,6
Q9H6D8,0
Q9H6K5,0
Q9H939,0
Q9NR31,73
Q9NU22,1
Q9NZJ9,4
Q9NZN1,0
Q9NZP8,0
Q9NZQ3,7
Q9NZT1,0
Q9P265,0
Q9P267,0
Q9P2D6,0
Q9P2D7,0
Q9P2K5,0
Q9UBZ9,1
Q9UGM3,2
Q9UGM5,6
Q9UGM6,0
Q9UJ98,0
Q9UK55,2
Q9UL12,0
Q9ULI0,0
Q9UNH5,2
Q9Y281,12
Q9Y2N7,0
Q9Y490,6
Q9Y4G6,2
Q9Y566,2
Q9Y6B6,2
Q9Y6R7,1
