,0
Hydropathy,0.004024394
Net Charge,0.009527846
Aromaticity,0.004532393
Neutral Charge,0.0024432354
IsoelectricPoint,0.0054858685
LengthAminoAcids,0.0047199177
Instability,0.003203487
Gravy,0.0
Molecular Weight,0.0037697856
Helix,0.007576531
Turn,0.0034602047
Sheets,0.0049105617
flexMed,0.0041825045
flexMin,0.0042277314
flexMax,0.0043560006
1-alkyl-2-acetylglycerophosphocholine esterase activity,0.0
1-phosphatidylinositol binding,0.0
1-phosphatidylinositol-3-kinase activity,0.0
"1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity",0.0
1-phosphatidylinositol-4-phosphate 3-kinase activity,0.0
14-3-3 protein binding,0.0
"3 iron, 4 sulfur cluster binding",0.0
"4 iron, 4 sulfur cluster binding",0.0
5'-nucleotidase activity,0.0
5S rRNA binding,0.0
A1 adenosine receptor binding,0.0
ABC-type sterol transporter activity,0.0
ABC-type transporter activity,0.0
ABC-type xenobiotic transporter activity,0.0
ADP binding,0.0
ATP binding,0.0016774249
ATP hydrolysis activity,0.0016484242
"ATP-dependent activity, acting on RNA",0.0
ATP-dependent protein disaggregase activity,0.0
ATP-dependent protein folding chaperone,0.0
ATPase binding,0.0
ATPase-coupled intramembrane lipid transporter activity,0.0
ATPase-coupled lipid transmembrane transporter activity,0.0
ATPase-coupled transmembrane transporter activity,0.0
Arp2/3 complex binding,0.0
C3HC4-type RING finger domain binding,0.0
C5L2 anaphylatoxin chemotactic receptor binding,0.0
DNA binding,0.0
DNA helicase activity,0.0
DNA replication origin binding,0.0
"DNA-binding transcription activator activity, RNA polymerase II-specific",0.0
DNA-binding transcription factor activity,0.0
"DNA-binding transcription factor activity, RNA polymerase II-specific",0.0
DNA-binding transcription factor binding,0.0
"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.0
DNA-directed DNA polymerase activity,0.0
FAD binding,0.0
Fc-gamma receptor I complex binding,0.0
G protein activity,0.0
G protein-coupled receptor binding,0.0
GDP binding,0.000475702
GTP binding,0.000957139
GTP-dependent protein binding,0.0
GTPase activating protein binding,0.005418881
GTPase activator activity,0.0
GTPase activity,0.0
GTPase binding,0.012295963
Hsp70 protein binding,0.0
IgA binding,0.0
IgG binding,0.0
JUN kinase binding,0.0
L-aspartate:2-oxoglutarate aminotransferase activity,0.0
L-cysteine transaminase activity,0.0
L-lactate dehydrogenase activity,0.0
LIM domain binding,0.0
MHC class I protein binding,0.0
MHC class II protein complex binding,0.0
N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity,0.0
N-acetylmuramoyl-L-alanine amidase activity,0.0
N6-methyladenosine-containing RNA reader activity,0.0
NAD binding,0.0
NAD+ nucleosidase activity,0.0
"NAD+ nucleotidase, cyclic ADP-ribose generating",0.0
NADP binding,0.013000157
