,Scores,Metric,Model
0,0.9712171052631579,AUC,XGBoost
1,0.9739744601623055,AUC,XGBoost
2,0.9671850173217681,AUC,XGBoost
3,0.9616655448816007,AUC,XGBoost
4,0.9661475861224988,AUC,XGBoost
5,0.9607433371484629,AUC,XGBoost
6,0.9714897748462759,AUC,XGBoost
7,0.9732317958383211,AUC,XGBoost
8,0.9638819534605012,AUC,XGBoost
9,0.9728904847396768,AUC,XGBoost
10,0.9466058612440191,AUC,Random Forest
11,0.9517156416327688,AUC,Random Forest
12,0.9461227891953843,AUC,Random Forest
13,0.9463965204266862,AUC,Random Forest
14,0.9437960186828205,AUC,Random Forest
15,0.934917123119686,AUC,Random Forest
16,0.9576944217561272,AUC,Random Forest
17,0.9551537070524413,AUC,Random Forest
18,0.9501273344651953,AUC,Random Forest
19,0.9530674531931265,AUC,Random Forest
20,0.9369642145135566,AUC,Gradient Boosting
21,0.9450321777669844,AUC,Gradient Boosting
22,0.9413873043161157,AUC,Gradient Boosting
23,0.9286417222460177,AUC,Gradient Boosting
24,0.932532276815762,AUC,Gradient Boosting
25,0.9322346100392412,AUC,Gradient Boosting
26,0.9400617464696123,AUC,Gradient Boosting
27,0.9427450780633165,AUC,Gradient Boosting
28,0.9222710476380706,AUC,Gradient Boosting
29,0.9451269556296485,AUC,Gradient Boosting
30,0.9083665338645418,F1,XGBoost
31,0.8958630527817404,F1,XGBoost
32,0.881913303437967,F1,XGBoost
33,0.8788732394366198,F1,XGBoost
34,0.8820058997050146,F1,XGBoost
35,0.8794326241134752,F1,XGBoost
36,0.8892086330935252,F1,XGBoost
37,0.8997134670487107,F1,XGBoost
38,0.8891891891891892,F1,XGBoost
39,0.9101620029455082,F1,XGBoost
40,0.8563685636856369,F1,Random Forest
41,0.8381502890173411,F1,Random Forest
42,0.8449848024316108,F1,Random Forest
43,0.8554744525547445,F1,Random Forest
44,0.8355555555555556,F1,Random Forest
45,0.8335704125177809,F1,Random Forest
46,0.8658892128279885,F1,Random Forest
47,0.8513708513708513,F1,Random Forest
48,0.8330995792426368,F1,Random Forest
49,0.8681481481481481,F1,Random Forest
50,0.8523206751054851,F1,Gradient Boosting
51,0.8253477588871715,F1,Gradient Boosting
52,0.8357256778309409,F1,Gradient Boosting
53,0.7975077881619937,F1,Gradient Boosting
54,0.7904761904761904,F1,Gradient Boosting
55,0.8292682926829269,F1,Gradient Boosting
56,0.8310077519379845,F1,Gradient Boosting
