,0
Hydropathy,0.004855617
Net Charge,0.0060946625
Aromaticity,0.0028188478
Neutral Charge,0.0030073067
IsoelectricPoint,0.005408519
LengthAminoAcids,0.004921023
Instability,0.0048495997
Gravy,0.0
Molecular Weight,0.0034600983
Helix,0.00965379
Turn,0.0035620802
Sheets,0.004175213
flexMed,0.0073622838
flexMin,0.004873022
flexMax,0.0024309796
1-alkyl-2-acetylglycerophosphocholine esterase activity,0.0
1-phosphatidylinositol binding,0.0
1-phosphatidylinositol-3-kinase activity,0.0
"1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity",0.0
1-phosphatidylinositol-4-phosphate 3-kinase activity,0.0
14-3-3 protein binding,0.0
"3 iron, 4 sulfur cluster binding",0.0
"4 iron, 4 sulfur cluster binding",0.0
5'-nucleotidase activity,0.0
5S rRNA binding,0.0
A1 adenosine receptor binding,0.0
ABC-type sterol transporter activity,0.0
ABC-type transporter activity,0.0
ABC-type xenobiotic transporter activity,0.0
ADP binding,0.0
ATP binding,0.004702444
ATP hydrolysis activity,0.0
"ATP-dependent activity, acting on RNA",0.0
ATP-dependent protein disaggregase activity,0.0
ATP-dependent protein folding chaperone,0.0
ATPase binding,0.0
ATPase-coupled intramembrane lipid transporter activity,0.0
ATPase-coupled lipid transmembrane transporter activity,0.0
ATPase-coupled transmembrane transporter activity,0.0
Arp2/3 complex binding,0.0
C3HC4-type RING finger domain binding,0.0
C5L2 anaphylatoxin chemotactic receptor binding,0.0
DNA binding,0.0
DNA helicase activity,0.0
DNA replication origin binding,0.0
"DNA-binding transcription activator activity, RNA polymerase II-specific",0.0
DNA-binding transcription factor activity,0.0
"DNA-binding transcription factor activity, RNA polymerase II-specific",0.0
DNA-binding transcription factor binding,0.0
"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.0
DNA-directed DNA polymerase activity,0.0
FAD binding,0.0
Fc-gamma receptor I complex binding,0.0
G protein activity,0.0
G protein-coupled receptor binding,0.0
GDP binding,0.0011087088
GTP binding,0.0
GTP-dependent protein binding,0.0
GTPase activating protein binding,0.00038090695
GTPase activator activity,0.0
GTPase activity,0.0
GTPase binding,0.0021170194
Hsp70 protein binding,0.0
IgA binding,0.0
IgG binding,0.0
JUN kinase binding,0.0
L-aspartate:2-oxoglutarate aminotransferase activity,0.0
L-cysteine transaminase activity,0.0
L-lactate dehydrogenase activity,0.0
LIM domain binding,0.0
MHC class I protein binding,0.0
MHC class II protein complex binding,0.0
N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity,0.0
N-acetylmuramoyl-L-alanine amidase activity,0.0
N6-methyladenosine-containing RNA reader activity,0.0
NAD binding,0.0
NAD+ nucleosidase activity,0.0
"NAD+ nucleotidase, cyclic ADP-ribose generating",0.0
NADP binding,0.0
NF-kappaB binding,0.0
PDZ domain binding,0.0
RAGE receptor binding,0.0
RNA binding,0.004357308
RNA cap binding,0.0
RNA helicase activity,0.0
RNA nuclease activity,0.0
RNA polymerase II cis-regulatory region sequence-specific DNA binding,0.0
RNA polymerase II core promoter sequence-specific DNA binding,0.0
RNA polymerase II transcription regulatory region sequence-specific DNA binding,0.0
RNA polymerase II-specific DNA-binding transcription factor binding,0.0
S-nitrosoglutathione binding,0.0
S100 protein binding,0.0
SH2 domain binding,0.0
SH3 domain binding,0.0
SNARE binding,0.0
STAT family protein binding,0.0
Tat protein binding,0.0
Toll-like receptor 4 binding,0.0
U1 snRNP binding,0.0
U7 snRNA binding,0.0
XMP 5'-nucleosidase activity,0.0
acetoacetyl-CoA hydrolase activity,0.0
acetyl-CoA hydrolase activity,0.0
acetylcholine receptor activity,0.0
aconitate hydratase activity,0.0
acrosin binding,0.0
actin binding,0.0
actin filament binding,0.0032259063
actin monomer binding,0.0
acyl-CoA hydrolase activity,0.0
acyl-L-homoserine-lactone lactonohydrolase activity,0.0
adenosylhomocysteinase activity,0.0
adenyl-nucleotide exchange factor activity,0.0
adipokinetic hormone receptor activity,0.0
adiponectin binding,0.0
alpha-amylase activity,0.0
alpha-catenin binding,0.0
alpha-tubulin binding,0.0
amino acid sensor activity,0.0
aminoacylase activity,0.0
aminopeptidase activity,0.0
amyloid-beta binding,0.0
angiostatin binding,0.0
ankyrin binding,0.0
ankyrin repeat binding,0.0
antigen binding,0.0005399834
antioxidant activity,0.0
apolipoprotein A-I binding,0.0
apolipoprotein A-I receptor binding,0.0
apolipoprotein binding,0.0
apolipoprotein receptor binding,0.0
arachidonic acid binding,0.0
arginase activity,0.0
aryldialkylphosphatase activity,0.0
arylesterase activity,0.0
