,Scores,Metric,Model
0,0.9712171052631579,AUC,Present
1,0.9739744601623055,AUC,Present
2,0.9671850173217681,AUC,Present
3,0.9616655448816007,AUC,Present
4,0.9661475861224988,AUC,Present
5,0.9607433371484629,AUC,Present
6,0.9714897748462759,AUC,Present
7,0.9732317958383211,AUC,Present
8,0.9638819534605012,AUC,Present
9,0.9728904847396768,AUC,Present
10,0.9083665338645418,F1,Present
11,0.8958630527817404,F1,Present
12,0.881913303437967,F1,Present
13,0.8788732394366198,F1,Present
14,0.8820058997050146,F1,Present
15,0.8794326241134752,F1,Present
16,0.8892086330935252,F1,Present
17,0.8997134670487107,F1,Present
18,0.8891891891891892,F1,Present
19,0.9101620029455082,F1,Present
20,0.9240088105726872,Accuracy,Present
21,0.9196035242290749,Accuracy,Present
22,0.9129955947136564,Accuracy,Present
23,0.9052863436123348,Accuracy,Present
24,0.9118942731277533,Accuracy,Present
25,0.9063876651982379,Accuracy,Present
26,0.9151982378854625,Accuracy,Present
27,0.9229074889867841,Accuracy,Present
28,0.9095920617420066,Accuracy,Present
29,0.9327453142227122,Accuracy,Present
30,0.9,Recall,Present
31,0.8674033149171271,Recall,Present
32,0.8805970149253731,Recall,Present
33,0.8813559322033898,Recall,Present
34,0.844632768361582,Recall,Present
35,0.8806818181818182,Recall,Present
36,0.8904899135446686,Recall,Present
37,0.8845070422535212,Recall,Present
38,0.8657894736842106,Recall,Present
39,0.8828571428571429,Recall,Present
40,0.9168900804289544,Precision,Present
41,0.9262536873156342,Precision,Present
42,0.8832335329341318,Precision,Present
43,0.8764044943820225,Precision,Present
44,0.9228395061728395,Precision,Present
45,0.8781869688385269,Precision,Present
46,0.8879310344827587,Precision,Present
47,0.9154518950437318,Precision,Present
48,0.9138888888888889,Precision,Present
49,0.939209726443769,Precision,Present
