,Scores,Metric,Model
0,0.9712171052631579,AUC,All
1,0.9739744601623055,AUC,All
2,0.9671850173217681,AUC,All
3,0.9616655448816007,AUC,All
4,0.9661475861224988,AUC,All
5,0.9607433371484629,AUC,All
6,0.9714897748462759,AUC,All
7,0.9732317958383211,AUC,All
8,0.9638819534605012,AUC,All
9,0.9728904847396768,AUC,All
10,0.9083665338645418,F1,All
11,0.8958630527817404,F1,All
12,0.881913303437967,F1,All
13,0.8788732394366198,F1,All
14,0.8820058997050146,F1,All
15,0.8794326241134752,F1,All
16,0.8892086330935252,F1,All
17,0.8997134670487107,F1,All
18,0.8891891891891892,F1,All
19,0.9101620029455082,F1,All
20,0.9240088105726872,Accuracy,All
21,0.9196035242290749,Accuracy,All
22,0.9129955947136564,Accuracy,All
23,0.9052863436123348,Accuracy,All
24,0.9118942731277533,Accuracy,All
25,0.9063876651982379,Accuracy,All
26,0.9151982378854625,Accuracy,All
27,0.9229074889867841,Accuracy,All
28,0.9095920617420066,Accuracy,All
29,0.9327453142227122,Accuracy,All
30,0.9,Recall,All
31,0.8674033149171271,Recall,All
32,0.8805970149253731,Recall,All
33,0.8813559322033898,Recall,All
34,0.844632768361582,Recall,All
35,0.8806818181818182,Recall,All
36,0.8904899135446686,Recall,All
37,0.8845070422535212,Recall,All
38,0.8657894736842106,Recall,All
39,0.8828571428571429,Recall,All
40,0.9168900804289544,Precision,All
41,0.9262536873156342,Precision,All
42,0.8832335329341318,Precision,All
43,0.8764044943820225,Precision,All
44,0.9228395061728395,Precision,All
45,0.8781869688385269,Precision,All
46,0.8879310344827587,Precision,All
47,0.9154518950437318,Precision,All
48,0.9138888888888889,Precision,All
49,0.939209726443769,Precision,All
50,0.5999626196172249,AUC,Origami
51,0.6175905126181369,AUC,Origami
52,0.589742387538746,AUC,Origami
53,0.5788054008851904,AUC,Origami
54,0.602161475861225,AUC,Origami
55,0.5670883747547416,AUC,Origami
56,0.5824818793118504,AUC,Origami
57,0.5895907088098209,AUC,Origami
58,0.5871641865574753,AUC,Origami
59,0.6152295460374454,AUC,Origami
60,0.285132382892057,F1,Origami
61,0.22510822510822512,F1,Origami
62,0.27192982456140347,F1,Origami
63,0.26666666666666666,F1,Origami
64,0.2851063829787234,F1,Origami
65,0.1936936936936937,F1,Origami
66,0.2217090069284065,F1,Origami
67,0.28817204301075267,F1,Origami
68,0.2998027613412229,F1,Origami
69,0.2657952069716776,F1,Origami
70,0.6134361233480177,Accuracy,Origami
71,0.6057268722466961,Accuracy,Origami
72,0.6343612334801763,Accuracy,Origami
73,0.6365638766519823,Accuracy,Origami
74,0.6299559471365639,Accuracy,Origami
75,0.6057268722466961,Accuracy,Origami
76,0.6288546255506607,Accuracy,Origami
77,0.6354625550660793,Accuracy,Origami
78,0.6085997794928335,Accuracy,Origami
79,0.6284454244762955,Accuracy,Origami
80,0.18421052631578946,Recall,Origami
81,0.143646408839779,Recall,Origami
82,0.18507462686567164,Recall,Origami
83,0.1694915254237288,Recall,Origami
84,0.18926553672316385,Recall,Origami
85,0.12215909090909091,Recall,Origami
86,0.138328530259366,Recall,Origami
87,0.18873239436619718,Recall,Origami
88,0.2,Recall,Origami
89,0.1742857142857143,Recall,Origami
90,0.6306306306306306,Precision,Origami
91,0.52,Precision,Origami
92,0.512396694214876,Precision,Origami
93,0.625,Precision,Origami
94,0.5775862068965517,Precision,Origami
95,0.4673913043478261,Precision,Origami
96,0.5581395348837209,Precision,Origami
97,0.6090909090909091,Precision,Origami
98,0.5984251968503937,Precision,Origami
99,0.5596330275229358,Precision,Origami
100,0.881200159489633,AUC,Functional
101,0.8848127011110437,AUC,Functional
102,0.88291005704462,AUC,Functional
103,0.8812743478349547,AUC,Functional
104,0.8761319831120357,AUC,Functional
105,0.8818978907782864,AUC,Functional
106,0.9003503418658529,AUC,Functional
107,0.8992970481114535,AUC,Functional
108,0.877711475082393,AUC,Functional
109,0.8943370094896127,AUC,Functional
110,0.7076411960132889,F1,Functional
111,0.6713780918727916,F1,Functional
112,0.7102473498233216,F1,Functional
113,0.7027972027972029,F1,Functional
114,0.6900175131348512,F1,Functional
115,0.700348432055749,F1,Functional
116,0.7069271758436944,F1,Functional
117,0.7182130584192441,F1,Functional
118,0.6835016835016835,F1,Functional
119,0.6923076923076923,F1,Functional
120,0.8061674008810573,Accuracy,Functional
121,0.7951541850220264,Accuracy,Functional
122,0.8193832599118943,Accuracy,Functional
123,0.8127753303964758,Accuracy,Functional
124,0.8050660792951542,Accuracy,Functional
125,0.8105726872246696,Accuracy,Functional
126,0.8182819383259912,Accuracy,Functional
127,0.8193832599118943,Accuracy,Functional
128,0.7927232635060639,Accuracy,Functional
129,0.814773980154355,Accuracy,Functional
130,0.5605263157894737,Recall,Functional
131,0.5248618784530387,Recall,Functional
132,0.6,Recall,Functional
133,0.5677966101694916,Recall,Functional
134,0.556497175141243,Recall,Functional
135,0.5710227272727273,Recall,Functional
136,0.5734870317002881,Recall,Functional
137,0.5887323943661972,Recall,Functional
138,0.5342105263157895,Recall,Functional
139,0.54,Recall,Functional
140,0.9594594594594594,Precision,Functional
141,0.9313725490196079,Precision,Functional
142,0.8701298701298701,Precision,Functional
143,0.9220183486238532,Precision,Functional
144,0.9078341013824884,Precision,Functional
145,0.9054054054054054,Precision,Functional
146,0.9212962962962963,Precision,Functional
147,0.920704845814978,Precision,Functional
148,0.9485981308411215,Precision,Functional
149,0.9642857142857143,Precision,Functional
150,0.9367449162679424,AUC,Structure
151,0.93019296541396,AUC,Structure
152,0.9361308640045843,AUC,Structure
153,0.9282975381916825,AUC,Structure
154,0.9322237859226173,AUC,Structure
155,0.9243352477109221,AUC,Structure
156,0.944094273811175,AUC,Structure
157,0.9413799251203423,AUC,Structure
158,0.9303530410466393,AUC,Structure
159,0.9399127981533727,AUC,Structure
160,0.8388888888888889,F1,Structure
161,0.7964338781575039,F1,Structure
162,0.8374233128834355,F1,Structure
163,0.8172362555720654,F1,Structure
164,0.8226299694189603,F1,Structure
165,0.8023426061493412,F1,Structure
166,0.8215384615384616,F1,Structure
167,0.8208955223880596,F1,Structure
168,0.8212703101920237,F1,Structure
169,0.8541033434650455,F1,Structure
170,0.8722466960352423,Accuracy,Structure
171,0.8491189427312775,Accuracy,Structure
172,0.8832599118942731,Accuracy,Structure
173,0.8645374449339207,Accuracy,Structure
174,0.8722466960352423,Accuracy,Structure
175,0.8513215859030837,Accuracy,Structure
176,0.8722466960352423,Accuracy,Structure
177,0.8678414096916299,Accuracy,Structure
178,0.8665931642778391,Accuracy,Structure
179,0.8941565600882029,Accuracy,Structure
180,0.7947368421052632,Recall,Structure
181,0.7403314917127072,Recall,Structure
182,0.8149253731343283,Recall,Structure
183,0.7768361581920904,Recall,Structure
184,0.7598870056497176,Recall,Structure
185,0.7784090909090909,Recall,Structure
186,0.7694524495677233,Recall,Structure
187,0.7746478873239436,Recall,Structure
188,0.7315789473684211,Recall,Structure
189,0.8028571428571428,Recall,Structure
190,0.888235294117647,Precision,Structure
191,0.8617363344051447,Precision,Structure
192,0.861198738170347,Precision,Structure
193,0.8620689655172413,Precision,Structure
194,0.8966666666666666,Precision,Structure
195,0.8277945619335347,Precision,Structure
196,0.8811881188118812,Precision,Structure
197,0.873015873015873,Precision,Structure
