,0
0,A0A0A0MRZ8
1,A0A0C4DH30
2,A0A0C4DH35
3,A0A0J9YX35
4,A0A0J9YXX1
5,A0A8I5KQE6
6,A6NHL2
7,A6NMY6
8,B2RXH8
9,B7ZW38
10,O14556
11,O60812
12,O60814
13,O76027
14,P00338
15,P01591
16,P01717
17,P01780
18,P02647
19,P02649
20,P02656
21,P02741
22,P04040
23,P04908
24,P05089
25,P06727
26,P06733
27,P06899
28,P07339
29,P07437
30,P07910
31,P0CG47
32,P0CG48
33,P0DMR1
34,P0DP03
35,P10412
36,P10809
37,P11142
38,P12259
39,P12270
40,P13639
41,P13796
42,P14923
43,P16104
44,P16401
45,P16402
46,P16403
47,P18124
48,P20671
49,P23528
50,P25705
51,P26641
52,P32119
53,P47929
54,P50991
55,P53634
56,P57053
57,P58876
58,P60174
59,P60709
60,P60900
61,P61626
62,P62424
63,P62805
64,P62807
65,P62913
66,P62937
67,P62979
68,P62987
69,P63261
70,P68363
71,P68431
72,P81605
73,P84243
74,Q02413
75,Q02878
76,Q06830
77,Q08554
78,Q12931
79,Q13835
80,Q14568
81,Q15517
82,Q15717
83,Q15846
84,Q16695
85,Q16777
86,Q1KMD3
87,Q562R1
88,Q58FF6
89,Q5D862
90,Q5QNW6
91,Q5TEH5
92,Q5VSP4
93,Q5VVH2
94,Q6E0U4
95,Q6FI13
96,Q71DI3
97,Q71U36
98,Q7L7L0
99,Q86YZ3
100,Q8IUE6
101,Q8TAA3
102,Q8WVV4
103,Q8WY22
104,Q93077
105,Q93079
106,Q96KK5
107,Q96QV6
108,Q99877
109,Q99878
110,Q99879
111,Q99880
112,Q9BQE3
113,Q9BTM1
114,Q9UL12
115,Q9ULI0
116,Q9Y281
