#queryIndex	queryItem	stringId	preferredName	annotation
6	A0A075B6P5	9606.ENSP00000452662	IGKV2D-28	Immunoglobulin kappa variable 2-28; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
10	A0A075B6S2	9606.ENSP00000483567	IGKV2D-29	Immunoglobulin kappa variable 2D-29; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whi [...] 
17	A0A087WW87	9606.ENSP00000452747	IGKV2D-40	Immunoglobulin kappa variable 2-40; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
23	A0A0B4J1V0	9606.ENSP00000479675	IGHV3-15	Immunoglobulin heavy variable 3-15; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
29	A0A0B4J1Y9	9606.ENSP00000480035	IGHV3-72	Immunoglobulin heavy variable 3-72; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
34	A0A0C4DH29	9606.ENSP00000479119	IGHV1-3	Immunoglobulin heavy variable 1-3; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which [...] 
35	A0A0C4DH30	9606.ENSP00000478725	IGHV3-16	Probable non-functional immunoglobulin heavy variable 3-16; Probable non-functional open reading frame (ORF) of V region of the variable domain of immunoglobulin heavy chains. Non-functional ORF generally cannot participate to the synthesis of a productive immunoglobulin chain due to altered V- (D)-J or switch recombination and/or splicing site (at mRNA level) and/or conserved amino acid change (protein level). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bou [...] 
55	A0A2R8Y4L2	9606.ENSP00000493805	HNRNPA1P48	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 48.
56	A0A2R8Y619	9606.ENSP00000495192	H2BE1	H2B.E variant histone 1.
60	A5A3E0	9606.ENSP00000386786	POTEF	POTE ankyrin domain family member F; In the C-terminal section; belongs to the actin family.
61	A6ND36	9606.ENSP00000373647	FAM83G	Protein FAM83G; May regulate the bone morphogenetic proteins (BMP) pathway.
62	A6NE02	9606.ENSP00000364515	BTBD17	BTB/POZ domain-containing protein 17; BTB domain containing 17.
63	A6NHL2	9606.ENSP00000369784	TUBAL3	Tubulin alpha chain-like 3; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity). Belongs to the tubulin family.
65	A8MTL9	9606.ENSP00000386207	HMSD	Serpin-like protein HMSD; Putative serine protease inhibitor.
66	B2RXH8	9606.ENSP00000479203	HNRNPCL2	Heterogeneous nuclear ribonucleoprotein C-like 2; May play a role in nucleosome assembly by neutralizing basic proteins such as A and B core hnRNPs.
67	B7ZW38	9606.ENSP00000478017	HNRNPCL3	Heterogeneous nuclear ribonucleoprotein C like 3.
68	B9A064	9606.ENSP00000431254	IGLL5	Immunoglobulin lambda like polypeptide 5.
69	O00294	9606.ENSP00000229771	TULP1	Tubby-related protein 1; Required for normal development of photoreceptor synapses. Required for normal photoreceptor function and for long-term survival of photoreceptor cells. Interacts with cytoskeleton proteins and may play a role in protein transport in photoreceptor cells (By similarity). Binds lipids, especially phosphatidylinositol 3-phosphate, phosphatidylinositol 4-phosphate, phosphatidylinositol 5-phosphate, phosphatidylinositol 3,4-bisphosphate, phosphatidylinositol 4,5- bisphosphate, phosphatidylinositol 3,4,5-bisphosphate, phosphatidylserine and phosphatidic acid (in vitr [...] 
70	O00299	9606.ENSP00000364935	CLIC1	Chloride intracellular channel protein 1; Can insert into membranes and form chloride ion channels. Channel activity depends on the pH. Membrane insertion seems to be redox-regulated and may occur only under oxydizing conditions. Involved in regulation of the cell cycle.
71	O00391	9606.ENSP00000356574	QSOX1	Sulfhydryl oxidase 1; Catalyzes the oxidation of sulfhydryl groups in peptide and protein thiols to disulfides with the reduction of oxygen to hydrogen peroxide. Plays a role in disulfide bond formation in a variety of extracellular proteins. In fibroblasts, required for normal incorporation of laminin into the extracellular matrix, and thereby for normal cell-cell adhesion and cell migration.
72	O00443	9606.ENSP00000265970	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha; Generates phosphatidylinositol 3-phosphate (PtdIns3P) and phosphatidylinositol 3,4-bisphosphate (PtdIns(3,4)P2) that act as second messengers. Has a role in several intracellular trafficking events. Functions in insulin signaling and secretion. Required for translocation of the glucose transporter SLC2A4/GLUT4 to the plasma membrane and glucose uptake in response to insulin-mediated RHOQ activation. Regulates insulin secretion through two different mechanisms: involved in glucose-induced insulin secretion dow [...] 
73	O14556	9606.ENSP00000222286	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific; May play an important role in regulating the switch between different pathways for energy production during spermiogenesis and in the spermatozoon. Required for sperm motility and male fertility (By similarity).
74	O14734	9606.ENSP00000217455	ACOT8	Acyl-coenzyme A thioesterase 8; Acyl-coenzyme A (acyl-CoA) thioesterases are a group of enzymes that catalyze the hydrolysis of acyl-CoAs to the free fatty acid and coenzyme A (CoASH), providing the potential to regulate intracellular levels of acyl-CoAs, free fatty acids and CoASH. Acyl-coenzyme A thioesterase 8/ACOT8 display no strong substrate specificity with respect to the carboxylic acid moiety of Acyl-CoAs (By similarity). Hydrolyzes medium length (C2 to C20) straight-chain, saturated and unsaturated acyl-CoAS but is inactive towards substrates with longer aliphatic chains. More [...] 
75	O14791	9606.ENSP00000317674	APOL1	Apolipoprotein L1; May play a role in lipid exchange and transport throughout the body. May participate in reverse cholesterol transport from peripheral cells to the liver.
76	O15217	9606.ENSP00000360002	GSTA4	Glutathione S-transferase A4; Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. This isozyme has a high catalytic efficiency with 4-hydroxyalkenals such as 4- hydroxynonenal (4-HNE).
77	O43866	9606.ENSP00000357156	CD5L	CD5 antigen-like; Secreted protein that acts as a key regulator of lipid synthesis: mainly expressed by macrophages in lymphoid and inflamed tissues and regulates mechanisms in inflammatory responses, such as infection or atherosclerosis. Able to inhibit lipid droplet size in adipocytes. Following incorporation into mature adipocytes via CD36- mediated endocytosis, associates with cytosolic FASN, inhibiting fatty acid synthase activity and leading to lipolysis, the degradation of triacylglycerols into glycerol and free fatty acids (FFA). CD5L-induced lipolysis occurs with progression o [...] 
78	O60307	9606.ENSP00000262811	MAST3	Microtubule associated serine/threonine kinase 3.
79	O60641	9606.ENSP00000400459	SNAP91	Clathrin coat assembly protein AP180; Adaptins are components of the adapter complexes which link clathrin to receptors in coated vesicles. Clathrin-associated protein complexes are believed to interact with the cytoplasmic tails of membrane proteins, leading to their selection and concentration. Binding of AP180 to clathrin triskelia induces their assembly into 60- 70 nm coats (By similarity); Belongs to the PICALM/SNAP91 family.
80	O60664	9606.ENSP00000221957	PLIN3	Perilipin-3; Required for the transport of mannose 6-phosphate receptors (MPR) from endosomes to the trans-Golgi network.
81	O60812	9606.ENSP00000365370	HNRNPCL1	Heterogeneous nuclear ribonucleoprotein C-like 1; May play a role in nucleosome assembly by neutralizing basic proteins such as A and B core hnRNPs.
82	O60814	9606.ENSP00000349430	H2BC12	Histone H2B type 1-K; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.
83	O75157	9606.ENSP00000354543	TSC22D2	TSC22 domain family member 2.
