,disMean,phiMean,psiMean
A0A075B6H7,0.18175161482650795,-94.01128759055302,102.33300464356253
A0A075B6I0,0.19473250163414899,-86.51041262267066,86.71541128979355
A0A075B6J9,0.18154597160879596,-89.2101985640445,96.21337940632287
A0A075B6K4,0.1878746727905388,-90.17996746560802,99.97092753156372
A0A075B6K5,0.19190802237935714,-89.69340767238451,91.07680229000424
A0A075B6P5,0.1854911101281535,-85.36038389205933,90.33361427088579
A0A075B6Q5,0.1700819384912439,-82.9047739384538,83.40116858962229
A0A075B6R2,0.16972573734222576,-84.57632526984581,85.78263826630054
A0A075B6R9,0.18090410677513472,-88.79051297505697,91.16198910574118
A0A075B6S2,0.17801933002751866,-88.28639609018961,95.82557240085056
A0A075B6S5,0.20442690569712468,-90.2271349328196,95.54588579112648
A0A075B6S6,0.18445440622496487,-88.41179316838583,91.12778286834558
A0A075B6S9,0.20097081853826115,-90.29771142943292,100.51990618563106
A0A087WSY4,0.17245218338127985,-87.94338827618098,87.31594017804679
A0A087WSY6,0.18452211194878898,-93.13585563327955,96.09697977097139
A0A087WSZ0,0.19895996841329086,-90.51488843738524,97.56058770163446
A0A087WW87,0.17711349874026977,-86.14921327070756,95.84412790132949
A0A0A0MRZ7,0.18761608575417388,-87.56254024505616,93.1950117389361
A0A0A0MRZ8,0.1863761454900194,-92.66843643188477,97.46214472988378
A0A0A0MS15,0.16487941912236764,-76.99551445696534,91.32463361210182
A0A0A0MT36,0.17428056975655126,-92.45043707730477,98.70706648157353
A0A0A0MT89,0.08430674206465479,-85.89120992024739,92.6182998418808
A0A0B4J1V0,0.16118479001126326,-78.4039127285741,90.27696042501626
A0A0B4J1V1,0.16312872972475895,-80.75248225020547,92.3727784116044
A0A0B4J1V2,0.16164976727206154,-89.07326222267471,91.950465254423
A0A0B4J1V6,0.16683032034701942,-79.99103353404197,88.18229185633298
A0A0B4J1X5,0.16569300863630992,-81.85078397571532,91.51988846776833
A0A0B4J1Y8,0.17628870482493345,-86.4592198627751,91.7775188606929
A0A0B4J1Y9,0.16452653002218487,-81.7165851753299,93.78617615659698
A0A0B4J2D9,0.20255893194910787,-89.78789484398996,94.66878927062847
A0A0B4J2H0,0.17119200250482777,-82.52526460957323,84.9183985422819
A0A0C4DH24,0.17976311869144984,-92.7218154438755,101.65981146327236
A0A0C4DH25,0.19261550246204118,-92.74589548439815,98.64230186363747
A0A0C4DH29,0.16666965531753042,-86.51264197194678,86.29220199253824
A0A0C4DH30,0.16633679306538304,-83.00953328711356,89.85328339689818
A0A0C4DH31,0.16670031758086326,-84.95421968769823,86.58054390014746
A0A0C4DH32,0.16244757096378595,-81.71033135642354,84.64891356178838
A0A0C4DH33,0.1673395371524779,-84.82583895300189,86.24982789795622
A0A0C4DH34,0.1681062257637514,-88.78902265760634,92.84601739227263
A0A0C4DH35,0.16351689936245514,-82.77453797495264,84.66672121969043
A0A0C4DH38,0.1675552079424152,-84.86662540272769,90.11852669766826
A0A0C4DH41,0.17051636123928263,-87.14199007971813,90.07395609960717
A0A0C4DH42,0.16655882269384195,-82.16580345712859,92.75585057817656
A0A0C4DH43,0.1626772348638745,-87.20820124009076,90.94247055254063
A0A0C4DH55,0.20712432716924517,-92.78454355832909,103.64052735782471
A0A0C4DH67,0.18963706801441732,-90.96609938248343,101.87579381258591
A0A0C4DH68,0.1797457623760162,-87.92501974105835,94.39107685089111
A0A0C4DH69,0.19938030303424795,-90.01179729363857,99.1757673465798
A0A0C4DH72,0.20205638305212317,-90.05653423733182,98.46259210965572
A0A0C4DH73,0.20134975457741294,-89.66403428917258,96.94003234969244
A0A0G2JMI3,0.1651831041165282,-84.67041873116779,87.06208632797258
A0A0J9YVY3,0.16799119208361743,-83.69967331845537,86.65533409770737
A0A0J9YX35,0.16413245311430838,-81.61226823594835,87.89520168915773
A0A0J9YXX1,0.16867829410827662,-86.28254937718057,89.6773982506532
A0A2R8Y4L2,0.29186784506664976,-74.6520823322643,65.03301614390178
A0A2R8Y619,0.26560330360049106,-73.50832204349706,19.27291260000135
A0A8I5KQE6,0.05747921361365774,-77.71534385034593,46.98148642601603
A0M8Q6,0.02947679961399217,-84.30982704882352,100.78603759239304
A2NJV5,0.18446982658648114,-88.20957762400309,94.80369304716586
A5A3E0,0.3536459851810219,-74.79041711141898,31.908275681643985
A6ND36,0.5320464536674225,-81.67669377031477,80.37673355982993
A6NE02,0.11528538097541931,-77.7681486357206,40.317303261142925
A6NHL2,0.012773713614363507,-78.74273106014782,26.091014623357978
A6NMY6,0.029217188169506688,-66.15876073471564,-3.3872529992663405
A8K2U0,0.02022971558638059,-86.5017899994673,78.04488445362819
A8MTL9,0.04128295535099938,-75.6578690233848,20.161790875650997
B2RXH8,0.6080248720917655,-75.87310297090445,65.93248599482885
B7ZW38,0.592679528645959,-72.89579896796685,65.94995770926361
B9A064,0.2685030254295984,-81.28995036187573,97.0833657122104
F6WE04,0.05002048420292047,-67.81783513849432,-12.843739744600924
